Phrase,Frequency
new york,1235
united states,983
year old,840
year ago,607
look like,544
high school,511
feel like,404
los angeles,390
web site,371
long term,356
health care,339
right reserve,337
san francisco,290
social medium,290
take place,288
real estate,280
look forward,269
let know,268
past year,264
little bit,262
south africa,228
long time,224
high quality,221
vice president,215
credit card,208
york city,206
electroactive polymer,202
spend time,198
answer question,198
email address,194
ask question,191
san diego,188
high level,185
good thing,184
customer service,177
white house,175
world war,174
day day,173
human right,172
man woman,167
sound like,164
wide range,164
time year,164
small business,160
state university,159
month ago,153
climate change,150
real time,149
feel free,148
new jersey,145
want know,145
york times,144
good way,143
year year,143
present invention,143
young people,140
home run,140
wall street,138
north america,138
world cup,138
time time,136
supreme court,135
major league,134
thing like,134
new zealand,133
president obama,133
new year,132
open source,132
mental health,132
year later,131
north carolina,131
find way,130
work hard,130
take time,125
new orleans,125
barack obama,123
federal government,122
play game,120
friend family,120
period time,119
family member,119
early year,117
holy spirit,117
good friend,116
award win,116
product service,116
second half,114
blog post,113
personal information,113
think good,113
insight manager,113
need help,112
breast cancer,112
public health,112
non profit,112
week ago,111
prime minister,110
continue read,110
easy use,110
las vegas,109
black white,109
head coach,109
active area,109
free download,108
million dollar,107
pretty good,107
hard work,107
good time,106
web page,106
european union,106
city council,106
police officer,106
operating system,105
need know,105
day week,105
feel good,105
middle east,105
natural gas,104
executive director,104
system insight,103
recent year,101
high education,101
say think,100
term condition,100
create new,99
olive oil,99
good news,98
jesus christ,98
star war,98
people think,97
renewable energy,97
people like,97
kansas city,97
large number,97
business day,97
image processing,97
great deal,96
post comment,96
task force,96
square foot,96
look good,96
family friend,95
medical center,95
attach hereto,95
young man,94
polymer roll,94
good luck,93
low level,93
search engine,93
law enforcement,93
tell story,92
know know,92
associated press,92
regular season,92
say want,91
press release,91
short term,91
hall fame,91
hereto exhibit,91
high speed,90
lot people,90
say know,90
health insurance,90
social network,89
wide variety,89
open door,89
brand new,89
south african,89
thing happen,88
lot time,87
solve problem,87
provide information,87
credit union,86
ice cream,85
people want,85
read book,85
gift card,85
video game,85
find good,85
official say,85
interest rate,84
people know,84
game play,84
school district,84
love love,84
good idea,83
win game,83
time come,83
san jose,83
million people,82
leave comment,82
image form,82
time day,81
right away,80
well know,80
cell phone,80
community service,80
different way,80
united nations,80
click link,80
immune system,80
come year,80
training program,80
pay attention,79
facebook page,79
member state,79
great way,79
meet need,79
civil war,78
send email,78
blood pressure,78
help find,78
clinical trial,78
spend year,77
real life,77
increase risk,76
service provider,76
make sense,76
question ask,76
information visit,75
social security,75
young child,75
know want,75
private sector,75
low cost,75
new mexico,75
general manager,74
people work,74
civil right,74
end year,74
long way,74
new product,74
saturday night,73
main street,73
information provide,73
set aside,73
old man,73
elementary school,73
mobile device,73
hour day,72
good practice,72
local government,72
year experience,71
catholic church,71
million year,71
phone number,71
help people,71
large scale,71
board director,71
national park,71
day ago,71
include limit,71
secretary state,71
processing apparatus,71
come home,70
message board,70
league baseball,70
point view,70
long run,70
year round,70
thing say,69
obama administration,69
past month,69
african american,69
insurance company,69
waste time,69
contact information,69
case study,69
home page,69
natural resource,68
time think,68
highly recommend,68
find right,68
stainless steel,68
hard time,67
work way,67
people live,67
peanut butter,67
come close,67
super bowl,67
high performance,67
rank voting,67
high end,66
right thing,66
mail address,66
work well,66
score point,66
chance win,66
school year,66
read article,66
weight loss,66
hip hop,66
try find,65
good place,65
state art,65
new hampshire,65
follow twitter,65
like say,65
mobile phone,65
free agent,65
world large,65
living room,65
form apparatus,65
inc right,64
economic development,64
people come,64
year say,64
say like,64
couple year,64
president barack,64
send message,64
look great,64
fall love,64
tea party,64
like know,64
new home,64
air force,64
south korea,64
additional information,64
save money,63
public school,63
couple week,63
get good,63
week week,63
new way,63
friday night,63
different type,63
public service,63
say statement,63
roll electroactive,63
new book,62
seven year,62
middle class,62
know think,62
originally post,62
grocery store,62
offer free,62
real world,62
heart disease,62
angeles times,62
second time,61
good deal,61
dining room,61
half hour,61
thing know,61
time get,61
stock market,61
north korea,61
information contact,60
good good,60
vast majority,60
good service,60
make easy,60
question answer,60
oil gas,60
thing need,60
develop country,60
say need,60
thing think,60
district court,60
early week,60
know people,60
small town,60
add new,60
college student,60
film festival,59
staff member,59
take care,59
financial aid,59
south carolina,59
parking lot,59
like think,59
law school,59
hong kong,59
low price,59
service provide,59
pass away,59
nearly year,59
good job,59
middle school,59
viagra online,59
human being,58
bad thing,58
day year,58
fair game,58
good reason,58
valentine day,58
find new,58
police department,58
penn state,58
street journal,58
phone call,58
internet explorer,58
reserve right,58
information available,57
economic growth,57
say thing,57
state department,57
number people,57
music video,57
year come,57
start work,57
feel well,57
new version,57
important thing,57
problem solve,57
york state,57
new feature,57
national security,57
far away,57
university press,57
research development,57
percent percent,57
previous year,57
english language,57
say look,56
child care,56
think like,56
new england,56
want play,56
get well,56
make sure,56
percent year,56
good bad,56
monday night,55
say year,55
attorney general,55
long ago,55
board member,55
international airport,55
time work,55
day later,55
include new,55
police say,55
facebook twitter,55
year early,55
free shipping,55
language minority,55
fine art,54
start new,54
rss feed,54
end day,54
time find,54
great job,54
walk away,54
second quarter,54
want use,54
young woman,54
mitt romney,54
second place,54
hard drive,54
material publish,54
care provider,53
time spend,53
study show,53
public private,53
chief executive,53
washington post,53
people need,53
special event,53
school student,53
billion dollar,53
change life,53
fourth quarter,53
annual meeting,53
way know,53
blood sugar,53
quality life,53
home health,53
pulse generator,53
come day,52
environmental protection,52
common sense,52
